epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,3288.73,1.53719,1.97375,1.67506,0.60644,0.59028,0.6449,0.35345,1.35766,1.38293,1.83608,0.0008814,0.0008814,0.0008814
109,3318.81,1.59964,2.01758,1.75903,0.58652,0.69444,0.66225,0.35503,1.39077,1.31457,1.84207,0.0008616,0.0008616,0.0008616
110,3348.81,1.49575,2.12041,1.64662,0.62189,0.58412,0.66458,0.37446,1.41259,1.27958,1.85755,0.0008418,0.0008418,0.0008418
111,3378.89,1.54846,2.12556,1.76867,0.6566,0.49264,0.65817,0.39775,1.3185,1.26212,1.80727,0.000822,0.000822,0.000822
112,3409.61,1.63655,1.82182,1.74307,0.58548,0.72917,0.66412,0.37136,1.28818,1.26489,1.78125,0.0008022,0.0008022,0.0008022
113,3439.7,1.57338,1.94918,1.8042,0.48805,0.72917,0.59061,0.32599,1.3602,1.26805,1.83177,0.0007824,0.0007824,0.0007824
114,3469.83,1.54083,1.96061,1.76933,0.57126,0.79155,0.66892,0.36944,1.33409,1.28884,1.81154,0.0007626,0.0007626,0.0007626
115,3499.91,1.49705,1.82968,1.73247,0.54345,0.79167,0.65398,0.33785,1.29676,1.3226,1.80071,0.0007428,0.0007428,0.0007428
116,3530.01,1.54908,1.9199,1.70998,0.57181,0.86584,0.69293,0.38232,1.27517,1.27365,1.77907,0.000723,0.000723,0.000723
117,3560.16,1.64011,2.16109,1.77902,0.61137,0.71022,0.75603,0.4082,1.36441,1.28492,1.8276,0.0007032,0.0007032,0.0007032
118,3590.77,1.52394,1.80487,1.69358,0.75205,0.58333,0.76735,0.4061,1.31592,1.28878,1.78939,0.0006834,0.0006834,0.0006834
119,3620.9,1.57903,1.87766,1.75301,0.54024,0.86806,0.72972,0.39301,1.22892,1.26373,1.74132,0.0006636,0.0006636,0.0006636
120,3651.09,1.59247,1.94912,1.72709,0.73904,0.59722,0.74698,0.40444,1.2614,1.20077,1.75865,0.0006438,0.0006438,0.0006438
121,3681.25,1.54272,1.83478,1.73372,0.76134,0.72459,0.78578,0.41264,1.32466,1.15705,1.79257,0.000624,0.000624,0.000624
122,3711.95,1.59917,1.94911,1.73649,0.8409,0.74306,0.8522,0.43852,1.31598,1.14757,1.79365,0.0006042,0.0006042,0.0006042
123,3742.56,1.49813,1.77827,1.69332,0.72584,0.85417,0.85706,0.45255,1.27674,1.15645,1.76874,0.0005844,0.0005844,0.0005844
124,3773.13,1.54831,1.8759,1.69292,0.74051,0.7816,0.82465,0.42636,1.28129,1.17348,1.778,0.0005646,0.0005646,0.0005646
125,3803.22,1.43098,1.79838,1.6355,0.71746,0.79694,0.86422,0.41303,1.32756,1.22872,1.79738,0.0005448,0.0005448,0.0005448
126,3833.46,1.57326,1.9037,1.73105,0.7572,0.85417,0.81263,0.3974,1.34474,1.24519,1.81251,0.000525,0.000525,0.000525
127,3863.54,1.51649,1.77197,1.71215,0.78988,0.76859,0.84226,0.43754,1.27113,1.17297,1.77158,0.0005052,0.0005052,0.0005052
128,3893.63,1.4515,1.87887,1.67923,0.72664,0.80689,0.837,0.38294,1.30047,1.18881,1.80814,0.0004854,0.0004854,0.0004854
129,3923.76,1.49846,1.77202,1.66586,0.75559,0.80556,0.85105,0.41391,1.28115,1.13582,1.78205,0.0004656,0.0004656,0.0004656
130,3953.86,1.53355,1.83022,1.71254,0.85501,0.78238,0.84735,0.4137,1.26983,1.12973,1.76423,0.0004458,0.0004458,0.0004458
131,3984.19,1.44953,1.74617,1.67312,0.65777,0.80556,0.79197,0.41379,1.24981,1.1181,1.74837,0.000426,0.000426,0.000426
132,4014.52,1.55088,1.90588,1.79498,0.56826,0.94431,0.72863,0.40161,1.25102,1.13135,1.74923,0.0004062,0.0004062,0.0004062
133,4044.74,1.46386,1.75868,1.64637,0.63207,0.8105,0.73424,0.43367,1.23784,1.09359,1.7245,0.0003864,0.0003864,0.0003864
134,4074.81,1.51048,1.90595,1.66497,0.65334,0.79167,0.75772,0.42081,1.2665,1.11496,1.74047,0.0003666,0.0003666,0.0003666
135,4104.95,1.50799,1.77845,1.70204,0.68026,0.88194,0.8337,0.42993,1.31533,1.12483,1.78127,0.0003468,0.0003468,0.0003468
136,4135.17,1.4634,1.76338,1.69637,0.70388,0.7883,0.80891,0.45771,1.24186,1.05915,1.7491,0.000327,0.000327,0.000327
137,4165.31,1.44311,1.73633,1.6473,0.67141,0.80615,0.80354,0.43839,1.23196,1.07986,1.74729,0.0003072,0.0003072,0.0003072
138,4195.46,1.43184,1.6994,1.67839,0.65857,0.88194,0.77344,0.41217,1.2441,1.12093,1.75183,0.0002874,0.0002874,0.0002874
139,4225.59,1.47526,1.79286,1.68708,0.64816,0.71494,0.77237,0.40572,1.24538,1.1338,1.74184,0.0002676,0.0002676,0.0002676
140,4255.7,1.32431,1.69295,1.52571,0.7121,0.81944,0.8163,0.44341,1.24109,1.07759,1.72983,0.0002478,0.0002478,0.0002478
141,4292.83,1.37134,1.54408,1.68924,0.6917,0.86806,0.7871,0.45382,1.24754,1.09254,1.73653,0.000228,0.000228,0.000228
142,4322.8,1.38127,1.53838,1.69495,0.67178,0.86806,0.79135,0.45336,1.20602,1.11142,1.71243,0.0002082,0.0002082,0.0002082
143,4352.79,1.39374,1.57563,1.6896,0.72232,0.82999,0.84237,0.45606,1.18828,1.10739,1.69726,0.0001884,0.0001884,0.0001884
144,4383.34,1.38308,1.51804,1.68327,0.72971,0.90278,0.81855,0.46057,1.17865,1.08644,1.68766,0.0001686,0.0001686,0.0001686
145,4413.87,1.36717,1.44037,1.67165,0.75778,0.65278,0.80284,0.45604,1.16718,1.05327,1.68416,0.0001488,0.0001488,0.0001488
146,4443.88,1.37293,1.47575,1.65891,0.69438,0.68765,0.78763,0.47248,1.15231,1.04091,1.67941,0.000129,0.000129,0.000129
147,4475.9,1.3822,1.39787,1.6896,0.73048,0.66667,0.77145,0.47395,1.14294,1.02991,1.67667,0.0001092,0.0001092,0.0001092
148,4506.85,1.36528,1.44962,1.65389,0.73538,0.65278,0.76699,0.46884,1.14164,1.03559,1.6807,8.94e-05,8.94e-05,8.94e-05
149,4537.62,1.35218,1.44038,1.65749,0.78974,0.65961,0.79735,0.47327,1.13136,1.02804,1.67496,6.96e-05,6.96e-05,6.96e-05
150,4569.56,1.32679,1.38065,1.70502,0.73975,0.66059,0.76406,0.47454,1.11978,1.03339,1.67086,4.98e-05,4.98e-05,4.98e-05
