epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,4093.71,1.42976,1.81149,1.66503,0.49686,0.70139,0.67448,0.3434,1.46446,1.48053,1.95326,0.0011982,0.0011982,0.0011982
93,4138.37,1.32286,1.74708,1.50398,0.57179,0.72222,0.60627,0.30715,1.46558,1.66077,1.97629,0.0011784,0.0011784,0.0011784
94,4181.46,1.46845,1.89096,1.67411,0.48609,0.75817,0.56941,0.28984,1.48896,1.54916,1.97464,0.0011586,0.0011586,0.0011586
95,4224.74,1.42705,1.957,1.60365,0.43824,0.6875,0.53575,0.27702,1.47979,1.56109,1.98596,0.0011388,0.0011388,0.0011388
96,4267.64,1.3846,1.94099,1.6392,0.48168,0.65278,0.55119,0.30296,1.41237,1.49519,1.93343,0.001119,0.001119,0.001119
97,4310.81,1.4157,1.87011,1.62245,0.53465,0.63889,0.63051,0.32897,1.44231,1.40125,1.94741,0.0010992,0.0010992,0.0010992
98,4354.71,1.37592,1.7594,1.57252,0.61562,0.73512,0.61986,0.30661,1.51784,1.57898,2.00829,0.0010794,0.0010794,0.0010794
99,4397.68,1.42153,1.84839,1.64754,0.46784,0.81944,0.60123,0.29894,1.43557,1.34795,1.95494,0.0010596,0.0010596,0.0010596
100,4440.56,1.42833,1.96445,1.60166,0.50966,0.78923,0.58984,0.30224,1.42969,1.45126,1.91818,0.0010398,0.0010398,0.0010398
101,4483.75,1.44307,1.96049,1.60258,0.5486,0.625,0.6149,0.28066,1.48565,1.59215,1.97249,0.00102,0.00102,0.00102
102,4526.9,1.42199,1.84974,1.60988,0.57636,0.54691,0.64157,0.29572,1.5385,1.53646,1.96933,0.0010002,0.0010002,0.0010002
103,4569.78,1.38575,1.8553,1.59856,0.50874,0.693,0.56416,0.289,1.41265,1.55976,1.91401,0.0009804,0.0009804,0.0009804
104,4612.68,1.44583,1.97051,1.63638,0.44054,0.54167,0.55493,0.30586,1.38788,1.50282,1.92271,0.0009606,0.0009606,0.0009606
105,4655.8,1.40721,1.78344,1.63727,0.48956,0.78395,0.65703,0.31984,1.43871,1.34568,1.9387,0.0009408,0.0009408,0.0009408
106,4698.43,1.39836,1.9591,1.65788,0.44211,0.55556,0.54041,0.2867,1.51515,1.50301,1.99754,0.000921,0.000921,0.000921
107,4741.3,1.3281,1.7287,1.55795,0.56716,0.69196,0.63919,0.32038,1.4544,1.51901,1.93828,0.0009012,0.0009012,0.0009012
108,4784.66,1.41123,1.83262,1.6128,0.58199,0.7119,0.62717,0.33343,1.41034,1.33002,1.91866,0.0008814,0.0008814,0.0008814
109,4829.63,1.36644,1.72052,1.5576,0.7424,0.67473,0.74839,0.35556,1.45109,1.35248,1.93233,0.0008616,0.0008616,0.0008616
110,4878.01,1.31527,1.81636,1.55549,0.6693,0.59028,0.70854,0.33617,1.43168,1.42505,1.93056,0.0008418,0.0008418,0.0008418
111,4920.76,1.25609,1.54406,1.42954,0.5549,0.63889,0.58745,0.29701,1.39251,1.52857,1.93532,0.000822,0.000822,0.000822
112,4964.07,1.40488,1.77392,1.6397,0.69019,0.77367,0.65432,0.32494,1.42471,1.53435,1.93895,0.0008022,0.0008022,0.0008022
113,5007.27,1.33905,1.64605,1.62719,0.66232,0.83673,0.69475,0.34533,1.45647,1.33231,1.96346,0.0007824,0.0007824,0.0007824
114,5050.82,1.29581,1.64864,1.52293,0.64374,0.75694,0.70253,0.36171,1.42401,1.28663,1.9217,0.0007626,0.0007626,0.0007626
115,5094.85,1.32082,1.583,1.60084,0.64676,0.72222,0.61718,0.3377,1.36269,1.41804,1.87507,0.0007428,0.0007428,0.0007428
116,5137.89,1.34092,1.74601,1.53418,0.48388,0.83333,0.6122,0.33681,1.37128,1.35142,1.91203,0.000723,0.000723,0.000723
117,5180.75,1.32989,1.71519,1.53774,0.53416,0.73165,0.65402,0.34232,1.37717,1.43752,1.88587,0.0007032,0.0007032,0.0007032
118,5224,1.29865,1.65503,1.5213,0.58787,0.65278,0.64221,0.34051,1.38723,1.40406,1.88171,0.0006834,0.0006834,0.0006834
